state,democrat_start_date,democrat_end_date,democrat_total_sample_size,democrat_pct,democrat_num_respondents,republican_start_date,republican_end_date,republican_total_sample_size,republican_pct,republican_num_respondents,"Although you are undecided, which candidate do you lean toward? Donald Trump",Can you please tell me your gender? Female,Can you please tell me your gender? Male,Can you please tell me your gender? Nonbinary or other,Do you approve or disapprove of the job Joe Biden is doing as President? Approve,Do you approve or disapprove of the job Joe Biden is doing as President? Disapprove,Do you approve or disapprove of the job Joe Biden is doing as President? Neutral or no opinion,"For statistical purposes only, can you please tell me your ethnicity? Asian","For statistical purposes only, can you please tell me your ethnicity? Black or African American","For statistical purposes only, can you please tell me your ethnicity? Hispanic or Latino of any race","For statistical purposes only, can you please tell me your ethnicity? Other or multiple races","For statistical purposes only, can you please tell me your ethnicity? White or Caucasian","How likely are you to vote in the November, 2024 Presidential election? Very likely",In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Donald Trump,In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Joe Biden,In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Undecided,"In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Cornel West","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Donald Trump","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Jill Stein","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Joe Biden","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Robert Kennedy","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Undecided",Mode Landline,Mode Mobile,Mode Online panel,What is the highest level of education you have attained? Associate Degree/some college,What is the highest level of education you have attained? College graduate,What is the highest level of education you have attained? High school or less,What is the highest level of education you have attained? Postgraduate or higher,What is the highest level of education you have attained? Vocational/technical school,What is your age range? 18-29 years,What is your age range? 30-39 years,What is your age range? 40-49 years,What is your age range? 50-59 years,What is your age range? 60-69 years,What is your age range? 70 or more years,What is your party registration? Democrat,What is your party registration? Independent/other,What is your party registration? Republican,Who did you vote for in the 2020 election? Did not vote,Who did you vote for in the 2020 election? Donald Trump,Who did you vote for in the 2020 election? Joe Biden,Who did you vote for in the 2020 election? Someone else
National,2024-09-29,2024-10-01,1000,50.2,502,2024-09-29,2024-10-01,1000,48.6,486,37.3,51.1,47.2,1.7,42.1,47.3,10.6,4.4,13.4,14.5,2.8,64.8,83,44.7,44.1,11.2,1.4,40.2,1.3,37.9,6.7,12.5,43.1,14.670438066139832,60.2,26.7,23.6,26.3,14.4,9,16,16,16,17,19,16,36.7,28.2,35.1,11.1,40.9,45.3,2.7
Arizona,2024-09-27,2024-09-28,920,47.6,438,2024-09-27,2024-09-28,920,51.7,476,51.8,51.8,46.4,1.8,36.6,56,7.5,1.5,12,4.5,1.8,80.2,84.9,45.1,42.9,12,1.6,41.5,0.9,36.8,7.6,11.6,21.6,5.5,45,25.1,22.1,24.3,18.3,10.3,12.9,15.8,12.9,20.8,19.8,17.8,40.2,18.4,41.3,6.7,45.2,46,2.1
North Carolina,2024-09-27,2024-09-28,850,49.1,417,2024-09-27,2024-09-28,850,49.9,424,51.8,51.8,46.4,1.8,36.6,56,7.5,1.5,12,4.5,1.8,80.2,84.9,45.1,42.9,12,1.6,41.5,0.9,36.8,7.6,11.6,21.6,5.5,45,25.1,22.1,24.3,18.3,10.3,12.9,15.8,12.9,20.8,19.8,17.8,40.2,18.4,41.3,6.7,45.2,46,2.1
Pennsylvania,2024-09-27,2024-09-28,1000,49.3,493,2024-09-27,2024-09-28,1000,48.8,488,50.3,53.7,44.6,1.7,38.8,50.4,10.8,1.7,28.9,7.1,1.4,60.9,84.9,47.9,41.6,10.5,1.4,45,0.7,36.2,5.9,10.9,28.5,5.5,41,29.3,25.8,21.8,14.2,8.9,20.1,16.8,17.8,17.8,14.8,12.8,30,35.8,34.2,7.4,44.9,45.3,2.4
New York,2024-09-23,2024-09-25,1000,55.5,555,2024-09-23,2024-09-25,1000,41.6,416,50.3,52.1,47.3,0.6,33.9,54.5,11.6,5.3,7.1,17.4,5.1,65.2,84.9,46,40.2,13.8,1.1,44.3,1.2,34.3,6.2,13,35.2,7.6,50.29752828992888,32.8,20.8,24,12.9,9.6,14.1,17.2,14.1,16.2,18.2,20.2,32,39,29,11,42.3,44.7,2
Texas,2024-09-22,2024-09-24,950,46.7,444,2024-09-22,2024-09-24,950,52.3,497,51.8,52.1,47.3,0.6,33.9,54.5,11.6,5.3,7.1,17.4,5.1,65.2,84.9,46,40.2,13.8,1.1,44.3,1.2,34.3,6.2,13,35.2,7.6,31.486374894671343,32.8,20.8,24,12.9,9.6,14.1,17.2,14.1,16.2,18.2,20.2,32,39,29,11,42.3,44.7,2
Virginia,2024-09-22,2024-09-24,860,52.7,453,2024-09-22,2024-09-24,860,46.2,397,51.3,52.1,47.3,0.6,33.9,54.5,11.6,5.3,7.1,17.4,5.1,65.2,84.9,46,40.2,13.8,1.1,44.3,1.2,34.3,6.2,13,35.2,7.6,31.486374894671343,32.8,20.8,24,12.9,9.6,14.1,17.2,14.1,16.2,18.2,20.2,32,39,29,11,42.3,44.7,2
Georgia,2024-09-15,2024-09-18,975,48.2,470,2024-09-15,2024-09-18,975,50.3,490,51.8,49.8,49.5,0.7,37.5,53.3,9.2,1.3,6.7,4,1.5,86.5,84.9,46,43.3,10.7,0.6,43.4,1,39.6,5.9,9.6,41.4022468431691,23.1818676118133,41,31,23.8,24.1,11.7,9.3,13.1,14.1,14.1,21.2,20.2,17.2,33.1,30.5,36.4,7.9,44.3,44.5,3.2
Michigan,2024-09-15,2024-09-18,875,50,438,2024-09-15,2024-09-18,875,49.1,430,52.6,53,46.2,0.8,35,56.8,8.3,4.2,28.7,4.3,2.5,60.3,88.1,32,54.6,13.4,1.2,31.4,1.4,46.6,5.9,13.5,56.4,38.4,41,21.8,27.2,22.6,22.1,6.3,11.3,17.2,16.9,19.9,19.9,14.9,54.3,21.1,24.6,13,26.8,57.9,2.3
Nevada,2024-09-15,2024-09-18,895,48.8,437,2024-09-15,2024-09-18,895,49,439,52.6,53,46.2,0.8,49.7,40.6,9.7,4.2,28.7,4.3,2.5,60.3,88.1,32,54.6,13.4,1.2,31.4,1.4,46.6,5.9,13.5,56.4,38.4,41,21.8,27.2,22.6,22.1,6.3,11.3,17.2,16.9,19.9,19.9,14.9,54.3,21.1,24.6,13,26.8,57.9,2.3
Wisconsin,2024-09-15,2024-09-18,1000,48.7,487,2024-09-15,2024-09-18,1000,50.3,503,49.786960176247455,51.9,47.1,1,49.7,40.6,9.7,6.1,9.3,31,4.5,49.1,100,55.6,35,9.4,1.3,30.7,0.8,48.9,7.7,10.5,34.4,28.8,69.7,28.6,28.7,19.5,15.2,8,13.4,19.7,17,19.9,17.9,12,46.9,29.2,23.9,9.4,28.7,58.2,3.7
Maryland,2024-09-12,2024-09-13,890,65.3,581,2024-09-12,2024-09-13,890,33.3,296,56.71710882509062,49.3,49.2,1.5,28,61.6,10.4,1.1,1.9,4.4,4.7,87.9,NA,55.6,35,9.4,1.1,48.5,0.7,28.3,8.2,13.3,34.4,28.8,69.7,33.5,18.6,25.5,12.3,10.2,19.4,15.1,15.1,17.1,16.1,17.1,46.9,29.2,23.9,9.7,51.8,36.6,1.9
Missouri,2024-09-12,2024-09-13,850,43.4,369,2024-09-12,2024-09-13,850,55.2,469,55.17453397430766,49.3,49.2,1.5,28,61.6,10.4,1.1,1.9,4.4,4.7,87.9,100,55.6,35,9.4,1.1,48.5,0.7,28.3,8.2,13.3,34.4,28.8,69.7,33.5,18.6,25.5,12.3,10.2,19.4,15.1,15.1,17.1,16.1,17.1,46.9,29.2,23.9,9.7,51.8,36.6,1.9
Indiana,2024-09-12,2024-09-13,1000,40.7,407,2024-09-12,2024-09-13,1000,57.9,579,56.4,51.9,47.1,1,49.7,40.6,9.7,6.1,9.3,31,4.5,49.1,100,55.6,35,9.4,1.3,30.7,0.8,48.9,7.7,10.5,34.4,28.8,69.7,28.6,28.7,19.5,15.2,8,13.4,19.7,17,19.9,17.9,12,46.9,29.2,23.9,9.4,28.7,58.2,3.7
California,2024-09-03,2024-09-05,815,60.8,496,2024-09-03,2024-09-05,815,38,310,55.4,49.3,49.2,1.5,28,61.6,10.4,1.1,1.9,4.4,4.7,87.9,88.77053484753378,55.6,35,9.4,1.1,48.5,0.7,28.3,8.2,13.3,25.6,28.8,69.7,33.5,18.6,25.5,12.3,10.2,19.4,15.1,15.1,17.1,16.1,17.1,31.9,29.6,38.5,9.7,51.8,36.6,1.9
Florida,2024-09-03,2024-09-05,815,47.6,388,2024-09-03,2024-09-05,815,51.1,416,46.43093649490436,49.3,49.2,1.5,28,61.6,10.4,1.1,1.9,4.4,4.7,87.9,88.77053484753378,55.6,35,9.4,1.1,48.5,0.7,28.3,8.2,13.3,28.170053296095904,28.8,69.7,33.5,18.6,25.5,12.3,10.2,19.4,15.1,15.1,17.1,16.1,17.1,43.00000000013709,25.89999999989448,31.099999999968443,9.7,51.8,36.6,1.9
Ohio,2024-09-03,2024-09-05,945,44.7,422,2024-09-03,2024-09-05,945,54.3,513,46.43093649490436,53.00000000027659,46.70000000018542,0.29999999953799616,46.32627917977479,45.800431005520934,7.873289814704296,0.8447729669985738,2.9567053851890663,32.523759239878366,8.764519535221265,54.910242872712665,88.77053484753378,NA,NA,NA,0.1711350435301897,40.16170735203519,0.3474726429234902,NA,NA,4.727103250775639,28.170053296095904,42.065791440253435,29.76415526365073,37.10000000022956,20.50000000001078,18.499999999978893,15.09999999993544,8.7999999998453209,16.99999999999711,13.999999999994856,14.084507042173213,19.11468812875864,20.52313883300532,20.120724346082778,43.00000000013709,25.89999999989448,31.099999999968443,5.799999999735257,40.20000000020634,51.40000000036857,2.599999999689839
New Mexico,2024-08-20,2024-08-22,1930,53.6,1009,2024-08-20,2024-08-22,1930,46.4,836,52,51.40000000003664,47.60000000003099,0.9999999999321856,38.79362388712863,52.57473768660294,8.631638426268308,1.3842275843427734,2.127534951761846,3.850143431449348,3.552503648595388,89.0855903838506,90.5616186024988,47.2,42.7,10.1,0.2828421299298148,41.44528413801067,0.7665551308336557,39.3,7.7,4.035715462146874,29.5,66.96879268823692,33.031207311762884,26.900000000012287,25.100000000012653,19.999999999998128,17.39999999999709,10.599999999979634,16.99999999999711,13.999999999994856,14.999999999998398,21.000000000009077,20.000000000006946,12.999999999993369,29.999999999991793,39.00000000001473,30.99999999999337,3.89999999995847,43.50000000003672,50.800000000052115,1.799999999952525
Montana,2024-08-05,2024-08-06,2000,42.5,815,2024-08-05,2024-08-06,2000,57.5,1110,52,51.8,47,1.2,35.9,54.3,9.8,2.2,2.6,18.7,5.3,71.2,84.9,47.2,42.7,10.1,0.7,42.7,1.2,39.3,7.7,8.4,29.5,31.1,33.031207311762884,31,23.8,24.1,11.7,9.3,16,13,14,18,19,20,30,35.8,34.2,9.1,43.7,43.9,3.3
New Hampshire,2024-07-26,2024-07-28,2000,52.4,1001,2024-07-26,2024-07-28,2000,47.6,890,52,52.5,46.7,0.8,40.4,46.5,13.1,4.4,12,11.1,4.2,68.3,84.9,39.4,45.7,14.9,1.2,35.8,0.8,41,7.5,13.7,27.5,26.7,45.8,27.7,30.1,17.7,18.1,6.4,11.1,15.3,13.9,20.6,20.1,19,38.2,38,23.8,9,35.8,51.8,3.4
Minnesota,2024-06-13,2024-06-18,2000,51,919,2024-06-13,2024-06-18,2000,49,906,NA,52.5,46.7,0.8,40.4,46.5,13.1,4.4,12,11.1,4.2,68.3,NA,39.4,45.7,14.9,1.2,35.8,0.8,41,7.5,13.7,27.5,26.7,45.8,27.7,30.1,17.7,18.1,6.4,11.1,15.3,13.9,20.6,20.1,19,38.2,38,23.8,9,35.8,51.8,3.4
New Jersey,2024-03-26,2024-03-29,2000,45.7,867,2024-03-26,2024-03-29,2000,39.4,752,NA,50.8,48.6,NA,NA,NA,NA,1.8,10.2,5.2,5.1,77.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,21.1,24.7,12.9,11.9,NA,NA,NA,NA,NA,16.6,NA,NA,NA,17.8,45.9,31.9,4.3
South Carolina,2024-02-14,2024-02-16,1197,36.7,439,2024-02-14,2024-02-16,1197,50.6,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,2024-01-23,2024-01-28,1856,41,761,2024-01-23,2024-01-28,1856,35,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,2024-01-23,2024-01-28,1777,26.4,469,2024-01-23,2024-01-28,1777,55.3,983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa,2023-12-15,2023-12-17,1094,39.6,433,2023-12-15,2023-12-17,1094,48.2,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,2023-10-01,2023-10-04,490,25.8,126,2023-10-01,2023-10-04,490,54.5,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,2023-10-01,2023-10-04,487,31,151,2023-10-01,2023-10-04,487,47,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia,2023-10-01,2023-10-04,539,22.5,121,2023-10-01,2023-10-04,539,59.3,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,2023-10-01,2023-10-04,423,30.9,131,2023-10-01,2023-10-04,423,46.8,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota,2023-10-01,2023-10-04,419,17,71,2023-10-01,2023-10-04,419,54,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2023-10-01,2023-10-04,468,43.4,203,2023-10-01,2023-10-04,468,33.7,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,2023-10-01,2023-10-04,435,24.4,106,2023-10-01,2023-10-04,435,56.6,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,2023-10-01,2023-10-04,478,14.8,71,2023-10-01,2023-10-04,478,67.6,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,2023-10-01,2023-10-04,410,22,90,2023-10-01,2023-10-04,410,55.3,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,2023-10-01,2023-10-03,450,26.3,118,2023-10-01,2023-10-03,450,54.6,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2023-10-01,2023-10-03,447,27,121,2023-10-01,2023-10-03,447,55,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,2022-10-31,2022-11-01,975,50.7,494,2022-10-31,2022-11-01,975,35.3,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah,2022-10-25,2022-10-28,825,33.6,277,2022-10-25,2022-10-28,825,47,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2022-10-19,2022-10-21,1000,49.4,494,2022-10-19,2022-10-21,1000,40,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2022-09-30,2022-10-01,782,49.4,386,2022-09-30,2022-10-01,782,38.7,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine,2022-09-19,2022-09-20,1164,50.9,592,2022-09-19,2022-09-20,1164,40.1,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,2022-09-07,2022-09-08,708,54,382,2022-09-07,2022-09-08,708,33.7,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
