state,url_crosstab_1,url_crosstab_2,url_crosstab_3,url_crosstab_4,url_crosstab_5,url_crosstab_6,url_crosstab_7,url_crosstab_8,url_crosstab_9,url_crosstab_10,url_crosstab_11,url_crosstab_12,url_crosstab_13,url_crosstab_14,url_crosstab_15,url_crosstab_16,url_crosstab_17,url_crosstab_18,url_crosstab_19,url_crosstab_20,url_crosstab_21,url_crosstab_22,url_crosstab_23,url_crosstab_24,url_crosstab_25,url_crosstab_26
Iowa,https://docs.google.com/spreadsheets/d/1j2f-3bMfO-YXrWpKf_HdC5eOoPlGXz6W/edit?gid=1221401656#gid=1221401656,https://docs.google.com/spreadsheets/d/1j2f-3bMfO-YXrWpKf_HdC5eOoPlGXz6W/edit?gid=1221401656#gid=1221401656,https://docs.google.com/spreadsheets/d/1-lCMd8bb4RhCvL8zkLiulKvxWAYCN8ov/edit?gid=301016065#gid=301016065,https://docs.google.com/spreadsheets/d/1-lCMd8bb4RhCvL8zkLiulKvxWAYCN8ov/edit?gid=301016065#gid=301016065,https://docs.google.com/spreadsheets/d/130z_dUtgMB3_yta2v8knWxjNv9Z2HymD/edit?gid=1544401297#gid=1544401297,https://docs.google.com/spreadsheets/d/130z_dUtgMB3_yta2v8knWxjNv9Z2HymD/edit?gid=1544401297#gid=1544401297,https://docs.google.com/spreadsheets/d/1bUq7htQTzYUyX8cPRbkZW7gXcKf7qczY/edit?gid=321096831#gid=321096831,https://docs.google.com/spreadsheets/d/1bUq7htQTzYUyX8cPRbkZW7gXcKf7qczY/edit?gid=321096831#gid=321096831,https://docs.google.com/spreadsheets/d/17TDDNbicD2zUFBMP1zGGMpBNTdGrpiNA/edit?gid=62499096#gid=62499096,https://docs.google.com/spreadsheets/d/17TDDNbicD2zUFBMP1zGGMpBNTdGrpiNA/edit?gid=62499096#gid=62499096,https://docs.google.com/spreadsheets/d/1DtCAcUi-gQi-imKgXR4N_NJkgLbwBEYA/edit?gid=1111959950#gid=1111959950,https://docs.google.com/spreadsheets/d/1DtCAcUi-gQi-imKgXR4N_NJkgLbwBEYA/edit?gid=1111959950#gid=1111959950,https://docs.google.com/spreadsheets/d/1DtCAcUi-gQi-imKgXR4N_NJkgLbwBEYA/edit?gid=1111959950#gid=1111959950,https://docs.google.com/spreadsheets/d/1DtCAcUi-gQi-imKgXR4N_NJkgLbwBEYA/edit?gid=1111959950#gid=1111959950,https://docs.google.com/spreadsheets/d/1DtCAcUi-gQi-imKgXR4N_NJkgLbwBEYA/edit?gid=1111959950#gid=1111959950,https://docs.google.com/spreadsheets/d/1DtCAcUi-gQi-imKgXR4N_NJkgLbwBEYA/edit?gid=1111959950#gid=1111959950,https://docs.google.com/spreadsheets/d/1DtCAcUi-gQi-imKgXR4N_NJkgLbwBEYA/edit?gid=1111959950#gid=1111959950,https://docs.google.com/spreadsheets/d/1DtCAcUi-gQi-imKgXR4N_NJkgLbwBEYA/edit?gid=1111959950#gid=1111959950,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980
NA,https://docs.google.com/spreadsheets/d/1zSMg6ly1Mnj1m9QKd7tmckRkEEPSCjb8/edit?gid=581474264#gid=581474264,https://docs.google.com/spreadsheets/d/1zSMg6ly1Mnj1m9QKd7tmckRkEEPSCjb8/edit?gid=581474264#gid=581474264,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,https://docs.google.com/spreadsheets/d/1avNPN-pqfUoYgdSHu8Icaa12kUyj7On8/edit?gid=82563413#gid=82563413,https://docs.google.com/spreadsheets/d/1avNPN-pqfUoYgdSHu8Icaa12kUyj7On8/edit?gid=82563413#gid=82563413,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1aQ9ATyvllyEiqC0WeoAlx9nqFge1gRmY/edit?gid=1059491322#gid=1059491322,https://docs.google.com/spreadsheets/d/1aQ9ATyvllyEiqC0WeoAlx9nqFge1gRmY/edit?gid=1059491322#gid=1059491322,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,https://docs.google.com/spreadsheets/d/165a3jgGb3dnNEVKiMZg2ghrEcQqtp7XY/edit?gid=681822589#gid=681822589,https://docs.google.com/spreadsheets/d/165a3jgGb3dnNEVKiMZg2ghrEcQqtp7XY/edit?gid=681822589#gid=681822589,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,https://docs.google.com/spreadsheets/d/1avNPN-pqfUoYgdSHu8Icaa12kUyj7On8/edit?gid=82563413#gid=82563413,https://docs.google.com/spreadsheets/d/1avNPN-pqfUoYgdSHu8Icaa12kUyj7On8/edit?gid=82563413#gid=82563413,https://docs.google.com/spreadsheets/d/1dqMvkIyLbhtA4en7vvL4JJwUqr7fCwYg/edit?rtpof=true&sd=true,https://docs.google.com/spreadsheets/d/1dqMvkIyLbhtA4en7vvL4JJwUqr7fCwYg/edit?rtpof=true&sd=true,https://docs.google.com/spreadsheets/d/1aQ9ATyvllyEiqC0WeoAlx9nqFge1gRmY/edit?gid=1059491322#gid=1059491322,https://docs.google.com/spreadsheets/d/1aQ9ATyvllyEiqC0WeoAlx9nqFge1gRmY/edit?gid=1059491322#gid=1059491322,https://docs.google.com/spreadsheets/d/1aQ9ATyvllyEiqC0WeoAlx9nqFge1gRmY/edit?gid=1059491322#gid=1059491322,https://docs.google.com/spreadsheets/d/1aQ9ATyvllyEiqC0WeoAlx9nqFge1gRmY/edit?gid=1059491322#gid=1059491322,https://docs.google.com/spreadsheets/d/1aQ9ATyvllyEiqC0WeoAlx9nqFge1gRmY/edit?gid=1059491322#gid=1059491322,https://docs.google.com/spreadsheets/d/1aQ9ATyvllyEiqC0WeoAlx9nqFge1gRmY/edit?gid=1059491322#gid=1059491322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,https://docs.google.com/spreadsheets/d/1QxGDC4nSP1dS6N7N1aXBxnXkRPyfw2As/edit?gid=1716322793#gid=1716322793,https://docs.google.com/spreadsheets/d/1QxGDC4nSP1dS6N7N1aXBxnXkRPyfw2As/edit?gid=1716322793#gid=1716322793,https://docs.google.com/spreadsheets/d/1dqMvkIyLbhtA4en7vvL4JJwUqr7fCwYg/edit?rtpof=true&sd=true,https://docs.google.com/spreadsheets/d/1dqMvkIyLbhtA4en7vvL4JJwUqr7fCwYg/edit?rtpof=true&sd=true,https://docs.google.com/spreadsheets/d/1dqMvkIyLbhtA4en7vvL4JJwUqr7fCwYg/edit?rtpof=true&sd=true,https://docs.google.com/spreadsheets/d/1dqMvkIyLbhtA4en7vvL4JJwUqr7fCwYg/edit?rtpof=true&sd=true,https://docs.google.com/spreadsheets/d/1dqMvkIyLbhtA4en7vvL4JJwUqr7fCwYg/edit?rtpof=true&sd=true,https://docs.google.com/spreadsheets/d/1dqMvkIyLbhtA4en7vvL4JJwUqr7fCwYg/edit?rtpof=true&sd=true,https://docs.google.com/spreadsheets/d/1cDRhqie-zsJyw2kbKw117vSqBIllHQ_O/edit?gid=1422125361#gid=1422125361,https://docs.google.com/spreadsheets/d/1avNPN-pqfUoYgdSHu8Icaa12kUyj7On8/edit?gid=82563413#gid=82563413,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,https://docs.google.com/spreadsheets/d/1ypgZmYJU5eJJa9vMESr-fbUfwBQw7pMr/edit?gid=327688766#gid=327688766,https://docs.google.com/spreadsheets/d/1ypgZmYJU5eJJa9vMESr-fbUfwBQw7pMr/edit?gid=327688766#gid=327688766,https://docs.google.com/spreadsheets/d/1cDRhqie-zsJyw2kbKw117vSqBIllHQ_O/edit?gid=1422125361#gid=1422125361,https://docs.google.com/spreadsheets/d/1cDRhqie-zsJyw2kbKw117vSqBIllHQ_O/edit?gid=1422125361#gid=1422125361,https://docs.google.com/spreadsheets/d/1cDRhqie-zsJyw2kbKw117vSqBIllHQ_O/edit?gid=1422125361#gid=1422125361,https://docs.google.com/spreadsheets/d/1cDRhqie-zsJyw2kbKw117vSqBIllHQ_O/edit?gid=1422125361#gid=1422125361,https://docs.google.com/spreadsheets/d/1cDRhqie-zsJyw2kbKw117vSqBIllHQ_O/edit?gid=1422125361#gid=1422125361,https://docs.google.com/spreadsheets/d/1cDRhqie-zsJyw2kbKw117vSqBIllHQ_O/edit?gid=1422125361#gid=1422125361,https://docs.google.com/spreadsheets/d/1avNPN-pqfUoYgdSHu8Icaa12kUyj7On8/edit?gid=82563413#gid=82563413,https://docs.google.com/spreadsheets/d/1avNPN-pqfUoYgdSHu8Icaa12kUyj7On8/edit?gid=82563413#gid=82563413,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montana,https://docs.google.com/spreadsheets/d/1QpH9_i2LJohrM3eAWQkaVl1IEgYMvkwB/edit?gid=960247444#gid=960247444,https://docs.google.com/spreadsheets/d/1QpH9_i2LJohrM3eAWQkaVl1IEgYMvkwB/edit?gid=960247444#gid=960247444,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,https://docs.google.com/spreadsheets/d/1sDCAsNFu_Ns0EqJzq_RwygwL9VDL4QfA/edit?gid=1015073363#gid=1015073363,https://docs.google.com/spreadsheets/d/1sDCAsNFu_Ns0EqJzq_RwygwL9VDL4QfA/edit?gid=1015073363#gid=1015073363,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,https://docs.google.com/spreadsheets/d/1avNPN-pqfUoYgdSHu8Icaa12kUyj7On8/edit?gid=82563413#gid=82563413,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire,https://docs.google.com/spreadsheets/d/1oROXvVwa-Hml4Fw03-O5IoJ5SSk0AE_Y/edit?rtpof=true&sd=true&gid=534825793#gid=534825793,https://docs.google.com/spreadsheets/d/1oROXvVwa-Hml4Fw03-O5IoJ5SSk0AE_Y/edit?rtpof=true&sd=true&gid=534825793#gid=534825793,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,https://docs.google.com/spreadsheets/d/1FVfn-1oaLtOObkwACgt_Imsvf7jgVEdo/edit?gid=1864996370#gid=1864996370,https://docs.google.com/spreadsheets/d/1FVfn-1oaLtOObkwACgt_Imsvf7jgVEdo/edit?gid=1864996370#gid=1864996370,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania,https://docs.google.com/spreadsheets/d/1kh4pSlw-sPe6g1jfUiXKVpid5dYJx4u4/edit?gid=1849198702#gid=1849198702,https://docs.google.com/spreadsheets/d/1kh4pSlw-sPe6g1jfUiXKVpid5dYJx4u4/edit?gid=1849198702#gid=1849198702,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,https://docs.google.com/spreadsheets/d/1avNPN-pqfUoYgdSHu8Icaa12kUyj7On8/edit?gid=82563413#gid=82563413,https://docs.google.com/spreadsheets/d/1avNPN-pqfUoYgdSHu8Icaa12kUyj7On8/edit?gid=82563413#gid=82563413,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,https://docs.google.com/spreadsheets/d/1hWJ8RI-6ImvPds-CMddDS2UyhN6gfqm3/edit?usp=sharing&ouid=107857247170786005927&rtpof=true&sd=true,https://docs.google.com/spreadsheets/d/1hWJ8RI-6ImvPds-CMddDS2UyhN6gfqm3/edit?usp=sharing&ouid=107857247170786005927&rtpof=true&sd=true,https://docs.google.com/spreadsheets/d/1DGqZCOxPqWVUWbObouo27NkmyGiD4Q5Q/edit?gid=1966307961#gid=1966307961,https://docs.google.com/spreadsheets/d/1DGqZCOxPqWVUWbObouo27NkmyGiD4Q5Q/edit?gid=1966307961#gid=1966307961,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,https://docs.google.com/spreadsheets/d/1avNPN-pqfUoYgdSHu8Icaa12kUyj7On8/edit?gid=82563413#gid=82563413,https://docs.google.com/spreadsheets/d/1avNPN-pqfUoYgdSHu8Icaa12kUyj7On8/edit?gid=82563413#gid=82563413,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,https://docs.google.com/spreadsheets/d/1hWJ8RI-6ImvPds-CMddDS2UyhN6gfqm3/edit?usp=sharing&ouid=107857247170786005927&rtpof=true&sd=true,https://docs.google.com/spreadsheets/d/1hWJ8RI-6ImvPds-CMddDS2UyhN6gfqm3/edit?usp=sharing&ouid=107857247170786005927&rtpof=true&sd=true,https://docs.google.com/spreadsheets/d/1xPTQ6KHu7GtPCrWO7jTBd0gt1mX5hp41/edit?gid=1838032591#gid=1838032591,https://docs.google.com/spreadsheets/d/1xPTQ6KHu7GtPCrWO7jTBd0gt1mX5hp41/edit?gid=1838032591#gid=1838032591,https://docs.google.com/spreadsheets/d/1avNPN-pqfUoYgdSHu8Icaa12kUyj7On8/edit?gid=82563413#gid=82563413,https://docs.google.com/spreadsheets/d/1avNPN-pqfUoYgdSHu8Icaa12kUyj7On8/edit?gid=82563413#gid=82563413,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,https://docs.google.com/spreadsheets/d/1zJrIOcXtzIRkaa34BDkxoVe9HY3stwFc/edit?gid=1704598980#gid=1704598980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,https://docs.google.com/spreadsheets/d/1Ss4zZ6JMelBtaJUYRSzAc5O4IZ72TK67/edit?gid=1938104335#gid=1938104335,https://docs.google.com/spreadsheets/d/1Ss4zZ6JMelBtaJUYRSzAc5O4IZ72TK67/edit?gid=1938104335#gid=1938104335,https://docs.google.com/spreadsheets/d/1FVfn-1oaLtOObkwACgt_Imsvf7jgVEdo/edit?gid=1864996370#gid=1864996370,https://docs.google.com/spreadsheets/d/1FVfn-1oaLtOObkwACgt_Imsvf7jgVEdo/edit?gid=1864996370#gid=1864996370,https://docs.google.com/spreadsheets/d/19sdRc0tEWp9eZRE19OV7Wgtm0CUj3mzN/edit?gid=755974594#gid=755974594,https://docs.google.com/spreadsheets/d/19sdRc0tEWp9eZRE19OV7Wgtm0CUj3mzN/edit?gid=755974594#gid=755974594,https://docs.google.com/spreadsheets/d/19sdRc0tEWp9eZRE19OV7Wgtm0CUj3mzN/edit?gid=755974594#gid=755974594,https://docs.google.com/spreadsheets/d/19sdRc0tEWp9eZRE19OV7Wgtm0CUj3mzN/edit?gid=755974594#gid=755974594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,https://docs.google.com/spreadsheets/d/1LBKyt7-MaIUDoHtgMWDGTt-f-WakmVlR/edit?gid=2045811530#gid=2045811530,https://docs.google.com/spreadsheets/d/1LBKyt7-MaIUDoHtgMWDGTt-f-WakmVlR/edit?gid=2045811530#gid=2045811530,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,https://docs.google.com/spreadsheets/d/1CsHWWKUzNy7uZRZzUKhNpC5vU7aa7qFH/edit?gid=303389226#gid=303389226,https://docs.google.com/spreadsheets/d/1CsHWWKUzNy7uZRZzUKhNpC5vU7aa7qFH/edit?gid=303389226#gid=303389226,https://docs.google.com/spreadsheets/d/19sdRc0tEWp9eZRE19OV7Wgtm0CUj3mzN/edit?gid=755974594#gid=755974594,https://docs.google.com/spreadsheets/d/19sdRc0tEWp9eZRE19OV7Wgtm0CUj3mzN/edit?gid=755974594#gid=755974594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,https://docs.google.com/spreadsheets/d/1weOflq62_8NyRwZF3I3IFTtnQ1r9ioNJ/edit?gid=920459395#gid=920459395,https://docs.google.com/spreadsheets/d/1weOflq62_8NyRwZF3I3IFTtnQ1r9ioNJ/edit?gid=920459395#gid=920459395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,https://docs.google.com/spreadsheets/d/18YPFYiD3uv_ehRX03Jp2MtsJXQOkvjrg/edit?gid=1255775821#gid=1255775821,https://docs.google.com/spreadsheets/d/18YPFYiD3uv_ehRX03Jp2MtsJXQOkvjrg/edit?gid=1255775821#gid=1255775821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,https://docs.google.com/spreadsheets/d/1tgXGdNdkmjGqx9Kj6C1Es50Hxbct4J7R/edit?gid=453932541#gid=453932541,https://docs.google.com/spreadsheets/d/1tgXGdNdkmjGqx9Kj6C1Es50Hxbct4J7R/edit?gid=453932541#gid=453932541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,https://docs.google.com/spreadsheets/d/1oA8tuH8qNgNdAnh-nJ8X6RrS2Mtx39T3/edit?gid=1796520530#gid=1796520530,https://docs.google.com/spreadsheets/d/1oA8tuH8qNgNdAnh-nJ8X6RrS2Mtx39T3/edit?gid=1796520530#gid=1796520530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri,https://docs.google.com/spreadsheets/d/1_lzmZngMKiuwK7ISJFJY9N2XspUdpy8a/edit?gid=56094561#gid=56094561,https://docs.google.com/spreadsheets/d/1_lzmZngMKiuwK7ISJFJY9N2XspUdpy8a/edit?gid=56094561#gid=56094561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,https://docs.google.com/spreadsheets/d/1DyXtvKL7EuVHKIh5v0v_c7oATHVrQXoe/edit?gid=2096770241#gid=2096770241,https://docs.google.com/spreadsheets/d/1DyXtvKL7EuVHKIh5v0v_c7oATHVrQXoe/edit?gid=2096770241#gid=2096770241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,https://docs.google.com/spreadsheets/d/19sdRc0tEWp9eZRE19OV7Wgtm0CUj3mzN/edit?gid=755974594#gid=755974594,https://docs.google.com/spreadsheets/d/19sdRc0tEWp9eZRE19OV7Wgtm0CUj3mzN/edit?gid=755974594#gid=755974594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
