state,"Although you are undecided, which candidate do you lean toward? Donald Trump","Although you are undecided, which candidate do you lean toward? Joe Biden","Although you are undecided, which candidate do you lean toward? Kamala Harris",Can you please tell me your gender? Female,Can you please tell me your gender? Male,Can you please tell me your gender? Nonbinary or other,Do you approve or disapprove of the job Joe Biden is doing as President? Approve,Do you approve or disapprove of the job Joe Biden is doing as President? Disapprove,Do you approve or disapprove of the job Joe Biden is doing as President? Neutral or no opinion,"For statistical purposes only, can you please tell me your ethnicity? Asian","For statistical purposes only, can you please tell me your ethnicity? Black or African American","For statistical purposes only, can you please tell me your ethnicity? Hispanic or Latino of any race","For statistical purposes only, can you please tell me your ethnicity? Other or multiple races","For statistical purposes only, can you please tell me your ethnicity? White or Caucasian","How likely are you to vote in the November, 2024 Presidential election? 50-50","How likely are you to vote in the November, 2024 Presidential election? Not likely at all","How likely are you to vote in the November, 2024 Presidential election? Somewhat likely","How likely are you to vote in the November, 2024 Presidential election? Very likely","If the Presidential Election were held today, would you vote for Kamala Harris or Donald Trump? - Selected Choice Donald Trump","If the Presidential Election were held today, would you vote for Kamala Harris or Donald Trump? - Selected Choice Kamala Harris","If the Presidential Election were held today, would you vote for Kamala Harris or Donald Trump? - Selected Choice Undecided",In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Donald Trump,In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Joe Biden,In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Undecided,"In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Cornel West","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Donald Trump","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Jill Stein","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Joe Biden","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Robert Kennedy","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Undecided",Mode Landline,Mode Mobile,Mode Online panel,Please select the type of area where you live Rural,Please select the type of area where you live Suburban,Please select the type of area where you live Urban,What is the highest level of education you have attained? Associate Degree/some college,What is the highest level of education you have attained? College graduate,What is the highest level of education you have attained? High school or less,What is the highest level of education you have attained? Postgraduate or higher,What is the highest level of education you have attained? Vocational/technical school,What is your age range? 18-29 years,What is your age range? 30-39 years,What is your age range? 40-49 years,What is your age range? 50-59 years,What is your age range? 60-69 years,What is your age range? 70 or more years,What is your party registration? Democrat,What is your party registration? Independent/other,What is your party registration? Republican,Who did you vote for in the 2020 election? Did not vote,Who did you vote for in the 2020 election? Donald Trump,Who did you vote for in the 2020 election? Joe Biden,Who did you vote for in the 2020 election? Someone else
National,37.3,62.7,52.34375788721065,51.1,47.2,1.7,42.1,47.3,10.6,4.4,13.4,14.5,2.8,64.8,6.7,2.1,8.2,83.0,46.90667075779446,49.40961108992388,2.5261371508571266,44.7,44.1,11.2,1.4,40.2,1.3,37.9,6.7,12.5,43.1,14.670438066139832,60.2,25.5,48.2,24.9999194893455,26.7,23.6,26.3,14.4,9.0,16.0,16.0,16.0,17.0,19.0,16.0,36.7,28.2,35.1,11.1,40.9,45.3,2.7
New Hampshire,51.8,48.2,47.4,51.8,46.4,1.8,36.6,56.0,7.5,1.5,12.0,4.5,1.8,80.2,6.7,2.6,5.8,84.9,46.69999997607766,50.299999739224596,1.0999999917046663,45.1,42.9,12.0,1.6,41.5,0.9,36.8,7.6,11.6,21.6,5.5,45.0,22.2,51.5,26.3,25.1,22.1,24.3,18.3,10.3,12.9,15.8,12.9,20.8,19.8,17.8,40.2,18.4,41.3,6.7,45.2,46.0,2.1
Pennsylvania,52.3,47.7,47.4,52.1,47.2,0.7,37.4,53.7,9.0,2.2,2.6,18.7,5.3,71.2,6.7,2.6,5.8,84.9,50.44955045035123,47.252747253387795,0.9990009982695793,45.6,42.5,11.9,1.1,42.6,1.3,37.1,7.5,10.3,33.5,11.1,49.2,22.2,51.5,26.3,31.0,23.8,24.1,11.7,9.3,16.0,13.0,14.0,18.0,19.0,20.0,30.0,35.8,34.2,10.0,43.2,43.6,3.1
North Carolina,52.3,47.7,47.49812359254599,53.7,44.6,1.7,38.8,50.4,10.8,1.7,28.9,7.1,1.4,60.9,6.7,2.6,5.8,84.9,50.44955045035123,47.252747253387795,0.9990009982695793,47.9,41.6,10.5,1.4,45.0,0.7,36.2,5.9,10.9,28.5,5.5,49.2,22.2,51.5,26.3,29.3,25.8,21.8,14.2,8.9,20.1,16.8,17.8,17.8,14.8,12.8,30.0,35.8,34.2,7.4,44.9,45.3,2.4
Wisconsin,50.3,49.7,47.4,52.1,47.3,0.6,33.9,54.5,11.6,5.3,7.1,17.4,5.1,65.2,6.7,2.6,5.8,84.9,50.44955045035123,47.252747253387795,0.9990009982695793,46.0,40.2,13.8,1.1,44.3,1.2,34.3,6.2,13.0,35.2,7.6,41.0,22.2,51.5,26.3,32.8,20.8,24.0,12.9,9.6,14.1,17.2,14.1,16.2,18.2,20.2,32.0,39.0,29.0,11.0,42.3,44.7,2.0
South Dakota,50.3,49.7,36.487378602012186,52.1,47.3,0.6,33.9,54.5,11.6,5.3,7.1,17.4,5.1,65.2,6.7,2.6,5.8,84.9,61.638361638547025,34.66533466538164,2.1978021976884925,46.0,40.2,13.8,1.1,44.3,1.2,34.3,6.2,13.0,35.2,7.6,41.88296711916328,22.2,51.5,26.3,32.8,20.8,24.0,12.9,9.6,14.1,17.2,14.1,16.2,18.2,20.2,32.0,39.0,29.0,11.0,42.3,44.7,2.0
Maryland,52.33408811742759,47.66591188257212,65.27506145520002,52.1,47.3,0.6,33.9,54.5,11.6,5.3,7.1,17.4,5.1,65.2,6.7,2.6,5.8,84.9,31.869674181729636,63.114526540911065,3.6116720436838357,46.0,40.2,13.8,1.1,44.3,1.2,34.3,6.2,13.0,35.2,7.6,41.88296711916328,22.2,51.5,26.3,32.8,20.8,24.0,12.9,9.6,14.1,17.2,14.1,16.2,18.2,20.2,32.0,39.0,29.0,11.0,42.3,44.7,2.0
Texas,51.3,48.7,47.4,51.9,47.3,0.8,32.5,53.9,13.6,5.3,7.1,17.4,5.1,65.2,3.6,2.4,5.9,88.1,50.86180364524273,45.589784340660074,2.5162977620804416,43.9,41.2,14.9,2.0,41.0,1.1,36.0,8.8,11.1,41.4022468431691,23.1818676118133,41.0,22.2,53.8,24.0,31.6,20.9,24.2,13.0,10.3,14.1,17.2,14.1,16.2,18.2,20.2,32.0,39.0,29.0,9.4,42.0,44.4,4.1
Florida,51.3,48.7,47.4,52.1,47.3,0.6,33.9,54.5,11.6,5.3,7.1,17.4,5.1,65.2,6.7,2.6,5.8,84.9,50.44955045035123,47.252747253387795,0.9990009982695793,46.0,40.2,13.8,1.1,44.3,1.2,34.3,6.2,13.0,35.2,7.6,41.0,22.2,51.5,26.3,32.8,20.8,24.0,12.9,9.6,14.1,17.2,14.1,16.2,18.2,20.2,32.0,39.0,29.0,11.0,42.3,44.7,2.0
California,52.6,NA,47.4,51.9,47.2,0.9,35.0,56.8,8.3,2.2,2.6,18.7,5.3,71.2,3.6,2.4,5.9,88.1,34.862199761855614,59.089915097073046,3.6928505791075295,NA,NA,NA,0.6,47.5,0.5,NA,NA,5.8,20.6,38.4,41.0,22.2,53.8,24.0,31.0,23.8,24.1,11.7,9.3,16.0,13.0,14.0,18.0,19.0,20.0,30.0,35.8,34.2,7.6,44.5,44.9,3.0
Arizona,52.0,48.0,47.4,51.8,47.0,1.2,35.9,54.3,9.8,2.2,2.6,18.7,5.3,71.2,6.7,2.6,5.8,84.9,50.44955045035123,47.252747253387795,0.9990009982695793,47.2,42.7,10.1,0.7,42.7,1.2,39.3,7.7,8.4,29.5,31.1,41.0,22.2,51.5,26.3,31.0,23.8,24.1,11.7,9.3,16.0,13.0,14.0,18.0,19.0,20.0,30.0,35.8,34.2,9.1,43.7,43.9,3.3
Georgia,51.20317510946262,NA,47.49812359254599,52.00000000055027,47.30000000042049,0.6999999990288973,39.02855328721549,54.45130861230676,6.520138100477428,2.1978021972530017,2.597402596877894,18.68131868129467,5.294705294264959,71.22877123030923,NA,NA,NA,100.0,50.44955045035123,47.252747253387795,0.9990009982695793,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.826109537048676,35.88161592218949,37.292274540761504,NA,NA,NA,31.03103103136583,23.823823823945407,24.124124124229052,11.711711711473294,9.309309308986077,15.999999999988464,12.999999999887294,13.9999999999141,18.000000000043755,19.00000000006328,20.000000000102837,29.99999999990188,35.80000000008145,34.20000000001636,4.999999999404473,46.30000000061981,46.5000000006852,2.199999999290193
Michigan,50.444576511583286,49.55542348841618,47.49812359254599,49.3,49.2,1.5,28.0,61.6,10.4,1.1,1.9,4.4,4.7,87.9,3.1428898793493176,2.764465405014217,3.873295564639053,90.21934915099737,50.44955045035123,47.252747253387795,0.9990009982695793,55.6,35.0,9.4,1.1,48.5,0.7,28.3,8.2,13.3,28.185358095652692,28.8,69.7,32.7420172606161,52.80536007702224,14.452622662361156,33.5,18.6,25.5,12.3,10.2,19.4,15.1,15.1,17.1,16.1,17.1,47.69999993521729,29.10000011332368,23.199999951459098,9.7,51.8,36.6,1.9
Nevada,50.444576511583286,49.55542348841618,48.20400005784303,49.3,49.2,1.5,28.0,61.6,10.4,1.1,1.9,4.4,4.7,87.9,3.1428898793493176,2.764465405014217,3.873295564639053,90.21934915099737,49.42656028922139,47.188388855753345,2.1252303834175663,55.6,35.0,9.4,1.1,48.5,0.7,28.3,8.2,13.3,28.185358095652692,28.8,69.7,32.7420172606161,52.80536007702224,14.452622662361156,33.5,18.6,25.5,12.3,10.2,19.4,15.1,15.1,17.1,16.1,17.1,47.69999993521729,29.10000011332368,23.199999951459098,9.7,51.8,36.6,1.9
New York,56.71710882509062,43.282891174909615,55.517522962925234,49.3,49.2,1.5,28.0,61.6,10.4,1.1,1.9,4.4,4.7,87.9,3.1428898793493176,2.764465405014217,3.873295564639053,90.21934915099737,40.16458690299563,53.963339788717455,2.9435314482099697,55.6,35.0,9.4,1.1,48.5,0.7,28.3,8.2,13.3,54.76011573442972,28.8,69.7,32.7420172606161,52.80536007702224,14.452622662361156,33.5,18.6,25.5,12.3,10.2,19.4,15.1,15.1,17.1,16.1,17.1,39.700000000104176,30.09999999998773,30.19999999990824,9.7,51.8,36.6,1.9
Virginia,55.4,44.6,52.72650528371173,49.3,49.2,1.5,28.0,61.6,10.4,1.1,1.9,4.4,4.7,87.9,NA,NA,NA,95.92075719394916,44.29291448757085,51.82381292351521,2.838090875354056,55.6,35.0,9.4,1.1,48.5,0.7,28.3,8.2,13.3,25.6,28.8,69.7,NA,NA,NA,33.5,18.6,25.5,12.3,10.2,19.4,15.1,15.1,17.1,16.1,17.1,36.39999999998404,29.60000000004699,33.99999999996917,9.7,51.8,36.6,1.9
Missouri,46.43093649490436,44.6,53.56906350509566,49.3,49.2,1.5,28.0,61.6,10.4,1.1,1.9,4.4,4.7,87.9,2.5598652674941036,2.9894970573983897,5.680102827573805,88.77053484753378,53.29450459184203,42.45477540234849,2.8213188238374407,55.6,35.0,9.4,1.1,48.5,0.7,28.3,8.2,13.3,28.170053296095904,28.8,69.7,43.155183935948685,36.285138778929905,20.559677285121445,33.5,18.6,25.5,12.3,10.2,19.4,15.1,15.1,17.1,16.1,17.1,43.00000000013709,25.89999999989448,31.099999999968443,9.7,51.8,36.6,1.9
Indiana,55.4,44.6,53.56906350509566,52.2,47.0,0.8,36.5,53.2,10.3,1.5,11.8,3.8,1.9,81.0,2.5598652674941036,2.9894970573983897,5.680102827573805,88.77053484753378,56.66725274540026,39.68897068631023,2.233884572787771,50.3,40.6,9.1,1.4,47.1,0.8,38.0,5.7,7.1,25.6,19.5,53.1,43.155183935948685,36.285138778929905,20.559677285121445,27.0,21.1,27.6,14.4,9.9,15.3,15.3,16.3,20.4,16.3,16.3,43.00000000013709,25.89999999989448,31.099999999968443,6.7,49.4,42.1,1.8
Ohio,52.0,48.0,53.56906350509566,51.8,47.0,1.2,35.9,54.3,9.8,2.2,2.6,18.7,5.3,71.2,6.7,2.6,5.8,84.9,NA,NA,NA,47.2,42.7,10.1,0.7,42.7,1.2,39.3,7.7,8.4,29.5,31.1,29.76415526365073,22.2,51.5,26.3,31.0,23.8,24.1,11.7,9.3,16.0,13.0,14.0,18.0,19.0,20.0,30.0,35.8,34.2,9.1,43.7,43.9,3.3
New Mexico,52.0,48.0,NA,52.5,46.7,0.8,40.4,46.5,13.1,4.4,12.0,11.1,4.2,68.3,6.7,2.6,5.8,84.9,NA,NA,NA,39.4,45.7,14.9,1.2,35.8,0.8,41.0,7.5,13.7,27.5,26.7,45.8,22.2,51.5,26.3,27.7,30.1,17.7,18.1,6.4,11.1,15.3,13.9,20.6,20.1,19.0,38.2,38.0,23.8,9.0,35.8,51.8,3.4
Montana,52.0,48.0,NA,51.8,47.0,1.2,35.9,54.3,9.8,2.2,2.6,18.7,5.3,71.2,6.7,2.6,5.8,84.9,NA,NA,NA,47.2,42.7,10.1,0.7,42.7,1.2,39.3,7.7,8.4,29.5,31.1,45.8,22.2,51.5,26.3,31.0,23.8,24.1,11.7,9.3,16.0,13.0,14.0,18.0,19.0,20.0,30.0,35.8,34.2,9.1,43.7,43.9,3.3
Minnesota,NA,NA,NA,52.5,46.7,0.8,40.4,46.5,13.1,4.4,12.0,11.1,4.2,68.3,NA,NA,NA,NA,NA,NA,NA,39.4,45.7,14.9,1.2,35.8,0.8,41.0,7.5,13.7,27.5,26.7,45.8,NA,NA,NA,27.7,30.1,17.7,18.1,6.4,11.1,15.3,13.9,20.6,20.1,19.0,38.2,38.0,23.8,9.0,35.8,51.8,3.4
New Jersey,NA,NA,NA,54.3,45.4,0.3,NA,NA,NA,0.9,19.9,3.2,4.1,71.9,NA,NA,NA,NA,NA,NA,NA,50.6,36.7,12.7,NA,NA,NA,NA,NA,NA,43.8,3.0,NA,NA,NA,NA,29.2,23.1,23.6,14.7,9.5,15.0,12.9,17.0,18.7,14.6,21.7,NA,NA,NA,9.2,49.4,38.8,2.7
South Carolina,NA,NA,NA,50.8,48.6,NA,NA,NA,NA,1.8,10.2,5.2,5.1,77.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,21.1,24.7,12.9,11.9,NA,NA,NA,NA,NA,16.6,NA,NA,NA,17.8,45.9,31.9,4.3
Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
