state,start_date,end_date,party,pct,Do you approve or disapprove of the job Joe Biden is doing as President? Approve
Pennsylvania,6/13/24,6/18/24,REP,44.8,35.9
Pennsylvania,6/13/24,6/18/24,IND,4.9,35.9
Pennsylvania,6/13/24,6/18/24,IND,0.2,35.9
Pennsylvania,6/13/24,6/18/24,GRE,0.9,35.9
Wisconsin,6/13/24,6/18/24,DEM,48.7,35.9
Wisconsin,6/13/24,6/18/24,REP,51.3,35.9
Wisconsin,6/13/24,6/18/24,DEM,42,35.9
Wisconsin,6/13/24,6/18/24,REP,43.8,35.9
Wisconsin,6/13/24,6/18/24,IND,6.1,35.9
Wisconsin,6/13/24,6/18/24,IND,0.4,35.9
Wisconsin,6/13/24,6/18/24,GRE,0.8,35.9
Georgia,6/13/24,6/18/24,DEM,47.7,35.9
Georgia,6/13/24,6/18/24,REP,52.3,35.9
Georgia,6/13/24,6/18/24,DEM,37.4,35.9
Georgia,6/13/24,6/18/24,REP,44.9,35.9
Georgia,6/13/24,6/18/24,IND,5.9,35.9
Georgia,6/13/24,6/18/24,IND,1.4,35.9
Georgia,6/13/24,6/18/24,GRE,0.9,35.9
NA,6/4/24,6/5/24,DEM,50.2,36.45318324897511
NA,6/4/24,6/5/24,REP,49.8,36.45318324897511
NA,6/4/24,6/5/24,DEM,38.4,36.45318324897511
NA,6/4/24,6/5/24,REP,44.4,36.45318324897511
NA,6/4/24,6/5/24,IND,5.9,36.45318324897511
NA,6/4/24,6/5/24,IND,1,36.45318324897511
NA,6/4/24,6/5/24,GRE,1.2,36.45318324897511
New York,5/28/24,5/29/24,DEM,44.1,38.975567105335124
New York,5/28/24,5/29/24,REP,37.6,38.975567105335124
New York,5/28/24,5/29/24,IND,5.7,38.975567105335124
New York,5/28/24,5/29/24,IND,1.5,38.975567105335124
New York,5/28/24,5/29/24,GRE,0.7,38.975567105335124
New York,5/28/24,5/29/24,DEM,55.2,38.975567105335124
New York,5/28/24,5/29/24,REP,44.8,38.975567105335124
NA,5/21/24,5/23/24,DEM,49.9,36.90111875516649
NA,5/21/24,5/23/24,REP,50.1,36.90111875516649
NA,5/21/24,5/23/24,DEM,38.7,36.90111875516649
NA,5/21/24,5/23/24,REP,43.8,36.90111875516649
NA,5/21/24,5/23/24,IND,5.9,36.90111875516649
NA,5/21/24,5/23/24,IND,1,36.90111875516649
NA,5/21/24,5/23/24,GRE,0.9,36.90111875516649
Maryland,5/6/24,5/8/24,DEM,56,47.66392281245239
Maryland,5/6/24,5/8/24,REP,34.5,47.66392281245239
Maryland,5/6/24,5/8/24,DEM,49.9,47.66392281245239
Maryland,5/6/24,5/8/24,REP,32.5,47.66392281245239
Maryland,5/6/24,5/8/24,IND,5.8,47.66392281245239
Maryland,5/6/24,5/8/24,IND,3,47.66392281245239
Maryland,5/6/24,5/8/24,GRE,1,47.66392281245239
Arizona,4/25/24,4/29/24,DEM,47.7,40.32695538142484
Arizona,4/25/24,4/29/24,REP,52.3,40.32695538142484
Arizona,4/25/24,4/29/24,DEM,40.2,40.32695538142484
Arizona,4/25/24,4/29/24,REP,43.6,40.32695538142484
Arizona,4/25/24,4/29/24,IND,8.5,40.32695538142484
Arizona,4/25/24,4/29/24,IND,0.9,40.32695538142484
Arizona,4/25/24,4/29/24,GRE,0.7,40.32695538142484
Georgia,4/25/24,4/29/24,DEM,49.2,40.32695538142484
Georgia,4/25/24,4/29/24,REP,50.8,40.32695538142484
Georgia,4/25/24,4/29/24,DEM,39,40.32695538142484
Georgia,4/25/24,4/29/24,REP,45.1,40.32695538142484
Georgia,4/25/24,4/29/24,IND,4.8,40.32695538142484
Georgia,4/25/24,4/29/24,IND,1.8,40.32695538142484
Georgia,4/25/24,4/29/24,GRE,1.5,40.32695538142484
Pennsylvania,4/25/24,4/29/24,DEM,48.8,40.32695538142484
Pennsylvania,4/25/24,4/29/24,REP,51.2,40.32695538142484
Pennsylvania,4/25/24,4/29/24,DEM,40.8,40.32695538142484
Pennsylvania,4/25/24,4/29/24,REP,45,40.32695538142484
Pennsylvania,4/25/24,4/29/24,IND,5.5,40.32695538142484
Pennsylvania,4/25/24,4/29/24,IND,0.8,40.32695538142484
Pennsylvania,4/25/24,4/29/24,GRE,1,40.32695538142484
Michigan,4/25/24,4/29/24,DEM,47.9,40.32695538142484
Michigan,4/25/24,4/29/24,REP,52.1,40.32695538142484
Michigan,4/25/24,4/29/24,DEM,42.1,40.32695538142484
Michigan,4/25/24,4/29/24,REP,43.2,40.32695538142484
Michigan,4/25/24,4/29/24,IND,5,40.32695538142484
Michigan,4/25/24,4/29/24,IND,0.7,40.32695538142484
Michigan,4/25/24,4/29/24,GRE,0.8,40.32695538142484
North Carolina,4/25/24,4/29/24,DEM,48.1,40.32695538142484
North Carolina,4/25/24,4/29/24,REP,51.9,40.32695538142484
North Carolina,4/25/24,4/29/24,DEM,37.2,40.32695538142484
North Carolina,4/25/24,4/29/24,REP,46.3,40.32695538142484
North Carolina,4/25/24,4/29/24,IND,5.6,40.32695538142484
North Carolina,4/25/24,4/29/24,IND,1.2,40.32695538142484
North Carolina,4/25/24,4/29/24,GRE,1.2,40.32695538142484
Nevada,4/25/24,4/29/24,DEM,49.3,40.32695538142484
Nevada,4/25/24,4/29/24,REP,50.7,40.32695538142484
Nevada,4/25/24,4/29/24,DEM,37.1,40.32695538142484
Nevada,4/25/24,4/29/24,REP,42.1,40.32695538142484
Nevada,4/25/24,4/29/24,IND,7.7,40.32695538142484
Nevada,4/25/24,4/29/24,IND,1.6,40.32695538142484
Nevada,4/25/24,4/29/24,GRE,0.9,40.32695538142484
Wisconsin,4/25/24,4/29/24,DEM,48.4,40.32695538142484
Wisconsin,4/25/24,4/29/24,REP,51.6,40.32695538142484
Wisconsin,4/25/24,4/29/24,DEM,40.4,40.32695538142484
Wisconsin,4/25/24,4/29/24,REP,44.7,40.32695538142484
Wisconsin,4/25/24,4/29/24,IND,6.4,40.32695538142484
Wisconsin,4/25/24,4/29/24,IND,0.6,40.32695538142484
Wisconsin,4/25/24,4/29/24,GRE,0.8,40.32695538142484
NA,4/16/24,4/17/24,DEM,48.5,39.4
NA,4/16/24,4/17/24,REP,51.5,39.4
NA,4/16/24,4/17/24,DEM,39.9,39.4
NA,4/16/24,4/17/24,REP,43.5,39.4
NA,4/16/24,4/17/24,IND,7.6,39.4
NA,4/16/24,4/17/24,IND,1,39.4
NA,4/16/24,4/17/24,GRE,0.4,39.4
Florida,4/9/24,4/10/24,DEM,43.6,36.0
Florida,4/9/24,4/10/24,REP,56.4,36.0
Florida,4/9/24,4/10/24,DEM,34.6,36.0
Florida,4/9/24,4/10/24,REP,49.2,36.0
Florida,4/9/24,4/10/24,IND,6.1,36.0
Florida,4/9/24,4/10/24,IND,0.5,36.0
Florida,4/9/24,4/10/24,GRE,1.1,36.0
NA,4/2/24,4/3/24,DEM,49.4,40.0
NA,4/2/24,4/3/24,REP,50.6,40.0
NA,4/2/24,4/3/24,DEM,42,40.0
NA,4/2/24,4/3/24,REP,43.2,40.0
NA,4/2/24,4/3/24,IND,7.8,40.0
NA,4/2/24,4/3/24,IND,0.7,40.0
NA,4/2/24,4/3/24,GRE,0.5,40.0
New Jersey,3/26/24,3/29/24,DEM,45.7,40.4
New Jersey,3/26/24,3/29/24,REP,39.4,40.4
New Jersey,3/26/24,3/29/24,DEM,41,40.4
New Jersey,3/26/24,3/29/24,REP,35.8,40.4
New Jersey,3/26/24,3/29/24,IND,7.5,40.4
New Jersey,3/26/24,3/29/24,IND,1.2,40.4
New Jersey,3/26/24,3/29/24,GRE,0.8,40.4
Michigan,3/14/24,3/18/24,DEM,49.7,38.7
Michigan,3/14/24,3/18/24,REP,50.3,38.7
Michigan,3/14/24,3/18/24,DEM,40.6,38.7
Michigan,3/14/24,3/18/24,REP,43.2,38.7
Michigan,3/14/24,3/18/24,IND,4.6,38.7
Michigan,3/14/24,3/18/24,IND,0.6,38.7
Michigan,3/14/24,3/18/24,GRE,1,38.7
Michigan,3/14/24,3/18/24,DEM,49.5,38.7
Michigan,3/14/24,3/18/24,REP,44.6,38.7
Wisconsin,3/14/24,3/18/24,DEM,48.2,37.5
Wisconsin,3/14/24,3/18/24,REP,51.8,37.5
Wisconsin,3/14/24,3/18/24,DEM,39.6,37.5
Wisconsin,3/14/24,3/18/24,REP,43.4,37.5
Wisconsin,3/14/24,3/18/24,IND,5.9,37.5
Wisconsin,3/14/24,3/18/24,IND,0.6,37.5
Wisconsin,3/14/24,3/18/24,GRE,1,37.5
Arizona,3/12/24,3/15/24,DEM,47.7,35.6
Arizona,3/12/24,3/15/24,REP,52.3,35.6
Arizona,3/12/24,3/15/24,DEM,37.9,35.6
Arizona,3/12/24,3/15/24,REP,45.8,35.6
Arizona,3/12/24,3/15/24,IND,6.5,35.6
Arizona,3/12/24,3/15/24,IND,0.9,35.6
Arizona,3/12/24,3/15/24,GRE,1.6,35.6
Nevada,3/12/24,3/15/24,DEM,48.7,32.5
Nevada,3/12/24,3/15/24,REP,51.3,32.5
Nevada,3/12/24,3/15/24,DEM,36,32.5
Nevada,3/12/24,3/15/24,REP,41,32.5
Nevada,3/12/24,3/15/24,IND,8.8,32.5
Nevada,3/12/24,3/15/24,IND,2,32.5
Nevada,3/12/24,3/15/24,GRE,1.1,32.5
Pennsylvania,3/10/24,3/13/24,DEM,48.2,37.7
Pennsylvania,3/10/24,3/13/24,REP,51.8,37.7
Pennsylvania,3/10/24,3/13/24,DEM,40.2,37.7
Pennsylvania,3/10/24,3/13/24,REP,43.7,37.7
Pennsylvania,3/10/24,3/13/24,IND,5.4,37.7
Pennsylvania,3/10/24,3/13/24,IND,1.2,37.7
Pennsylvania,3/10/24,3/13/24,GRE,1.2,37.7
Ohio,3/7/24,3/10/24,DEM,44.6,36.5
Ohio,3/7/24,3/10/24,REP,55.4,36.5
Ohio,3/7/24,3/10/24,DEM,38,36.5
Ohio,3/7/24,3/10/24,REP,47.1,36.5
Ohio,3/7/24,3/10/24,IND,5.7,36.5
Ohio,3/7/24,3/10/24,IND,1.4,36.5
Ohio,3/7/24,3/10/24,GRE,0.8,36.5
NA,3/5/24,3/6/24,DEM,51,41.0
NA,3/5/24,3/6/24,REP,49,41.0
NA,3/5/24,3/6/24,DEM,41.5,41.0
NA,3/5/24,3/6/24,REP,43.2,41.0
NA,3/5/24,3/6/24,IND,6,41.0
NA,3/5/24,3/6/24,IND,1.6,41.0
NA,3/5/24,3/6/24,GRE,0.5,41.0
Indiana,3/2/24,3/5/24,DEM,33.6,30.1
Indiana,3/2/24,3/5/24,REP,54.8,30.1
Indiana,3/2/24,3/5/24,DEM,28.7,30.1
Indiana,3/2/24,3/5/24,REP,44.5,30.1
Montana,2/26/24,3/2/24,DEM,35,28.0
Montana,2/26/24,3/2/24,REP,55.6,28.0
Montana,2/26/24,3/2/24,DEM,28.3,28.0
Montana,2/26/24,3/2/24,REP,48.5,28.0
Montana,2/26/24,3/2/24,IND,8.2,28.0
Montana,2/26/24,3/2/24,IND,1.1,28.0
Montana,2/26/24,3/2/24,GRE,0.7,28.0
California,2/24/24,2/27/24,DEM,56.5,50.1
California,2/24/24,2/27/24,REP,35.1,50.1
California,2/24/24,2/27/24,DEM,50.8,50.1
California,2/24/24,2/27/24,REP,31.5,50.1
California,2/24/24,2/27/24,IND,6.4,50.1
California,2/24/24,2/27/24,IND,2,50.1
California,2/24/24,2/27/24,GRE,0.9,50.1
Nevada,2/16/24,2/19/24,DEM,40.2,33.9
Nevada,2/16/24,2/19/24,REP,46,33.9
Nevada,2/16/24,2/19/24,DEM,34.3,33.9
Nevada,2/16/24,2/19/24,REP,44.3,33.9
Nevada,2/16/24,2/19/24,IND,6.2,33.9
Nevada,2/16/24,2/19/24,IND,1.1,33.9
Nevada,2/16/24,2/19/24,GRE,1.2,33.9
Nevada,2/16/24,2/19/24,DEM,38.9,33.9
Nevada,2/16/24,2/19/24,REP,47.6,33.9
Nevada,2/16/24,2/19/24,DEM,31.5,33.9
Nevada,2/16/24,2/19/24,REP,49,33.9
Arizona,2/16/24,2/19/24,DEM,42.5,37.4
Arizona,2/16/24,2/19/24,REP,45.6,37.4
Arizona,2/16/24,2/19/24,DEM,37.1,37.4
Arizona,2/16/24,2/19/24,REP,42.6,37.4
Arizona,2/16/24,2/19/24,IND,7.5,37.4
Arizona,2/16/24,2/19/24,IND,1.1,37.4
Arizona,2/16/24,2/19/24,GRE,1.3,37.4
Arizona,2/16/24,2/19/24,DEM,40.3,37.4
Arizona,2/16/24,2/19/24,REP,47.6,37.4
Arizona,2/16/24,2/19/24,DEM,34.4,37.4
Arizona,2/16/24,2/19/24,REP,47.3,37.4
California,2/16/24,2/18/24,DEM,55.3,49.7
California,2/16/24,2/18/24,REP,32.6,49.7
California,2/16/24,2/18/24,DEM,48.9,49.7
California,2/16/24,2/18/24,REP,30.7,49.7
California,2/16/24,2/18/24,IND,7.7,49.7
California,2/16/24,2/18/24,IND,1.3,49.7
California,2/16/24,2/18/24,GRE,0.8,49.7
Pennsylvania,2/14/24,2/16/24,DEM,42.9,36.6
Pennsylvania,2/14/24,2/16/24,REP,45.1,36.6
Pennsylvania,2/14/24,2/16/24,DEM,36.8,36.6
Pennsylvania,2/14/24,2/16/24,REP,41.5,36.6
Pennsylvania,2/14/24,2/16/24,IND,7.6,36.6
Pennsylvania,2/14/24,2/16/24,IND,1.6,36.6
Pennsylvania,2/14/24,2/16/24,GRE,0.9,36.6
Pennsylvania,2/14/24,2/16/24,DEM,39.5,36.6
Pennsylvania,2/14/24,2/16/24,REP,49.2,36.6
Pennsylvania,2/14/24,2/16/24,DEM,33.2,36.6
Pennsylvania,2/14/24,2/16/24,REP,48.4,36.6
North Carolina,2/14/24,2/16/24,DEM,43.7,38.3
North Carolina,2/14/24,2/16/24,REP,46.6,38.3
North Carolina,2/14/24,2/16/24,DEM,36.7,38.3
North Carolina,2/14/24,2/16/24,REP,45.9,38.3
North Carolina,2/14/24,2/16/24,IND,4.9,38.3
North Carolina,2/14/24,2/16/24,IND,1,38.3
North Carolina,2/14/24,2/16/24,GRE,0.9,38.3
North Carolina,2/14/24,2/16/24,DEM,40.7,38.3
North Carolina,2/14/24,2/16/24,REP,49.9,38.3
North Carolina,2/14/24,2/16/24,DEM,34,38.3
North Carolina,2/14/24,2/16/24,REP,49.2,38.3
Georgia,2/14/24,2/16/24,DEM,41.6,38.8
Georgia,2/14/24,2/16/24,REP,47.9,38.8
Georgia,2/14/24,2/16/24,DEM,36.2,38.8
Georgia,2/14/24,2/16/24,REP,45,38.8
Georgia,2/14/24,2/16/24,IND,5.9,38.8
Georgia,2/14/24,2/16/24,IND,1.4,38.8
Georgia,2/14/24,2/16/24,GRE,0.7,38.8
Georgia,2/14/24,2/16/24,DEM,41.2,38.8
Georgia,2/14/24,2/16/24,REP,51,38.8
Georgia,2/14/24,2/16/24,DEM,32.2,38.8
Georgia,2/14/24,2/16/24,REP,50.5,38.8
NA,2/13/24,2/14/24,DEM,44.1,42.1
NA,2/13/24,2/14/24,REP,44.7,42.1
NA,2/13/24,2/14/24,DEM,37.9,42.1
NA,2/13/24,2/14/24,REP,40.2,42.1
NA,2/13/24,2/14/24,IND,6.7,42.1
NA,2/13/24,2/14/24,IND,1.4,42.1
NA,2/13/24,2/14/24,GRE,1.3,42.1
NA,2/13/24,2/14/24,DEM,42.7,42.1
NA,2/13/24,2/14/24,REP,46,42.1
NA,2/13/24,2/14/24,DEM,32.8,42.1
NA,2/13/24,2/14/24,REP,45,42.1
NA,2/13/24,2/14/24,DEM,36,42.1
NA,2/13/24,2/14/24,REP,46.1,42.1
